rho,betak1,etai1,Li1,gammai1,etai2,Li2,gammai2,etai3,Li3,gammai3,etai4,Li4,gammai4,etai5,Li5,gammai5,etai6,Li6,gammai6,etai7,Li7,gammai7,etai8,Li8,gammai8,etai9,Li9,gammai9,etai10,Li10,gammai10,beta,eta,L,gamma
2.680000e+00,6.268658e-01,1.000000e+00,5.976191e+00,1.673307e-01,1.000000e+00,5.976191e+00,1.673307e-01,1.000000e+00,5.976191e+00,1.673307e-01,1.000000e+00,5.976191e+00,1.673307e-01,1.000000e+00,5.976191e+00,1.673307e-01,9.999996e-01,5.904762e+00,6.774190e-01,9.999996e-01,5.904762e+00,6.774190e-01,9.999996e-01,5.904762e+00,6.774190e-01,9.999996e-01,5.904762e+00,6.774190e-01,9.999996e-01,5.904762e+00,6.774190e-01,6.268658e-01,9.999997e-01,5.940476e+01,4.208415e-01
2.690000e+00,6.282529e-01,1.000000e+00,5.976331e+00,1.673267e-01,1.000000e+00,5.976331e+00,1.673267e-01,1.000000e+00,5.976331e+00,1.673267e-01,1.000000e+00,5.976331e+00,1.673267e-01,1.000000e+00,5.976331e+00,1.673267e-01,9.999996e-01,5.905326e+00,6.773544e-01,9.999996e-01,5.905326e+00,6.773544e-01,9.999996e-01,5.905326e+00,6.773544e-01,9.999996e-01,5.905326e+00,6.773544e-01,9.999996e-01,5.905326e+00,6.773544e-01,6.282529e-01,9.999997e-01,5.940829e+01,4.208166e-01
2.700000e+00,6.296297e-01,1.000000e+00,5.976471e+00,1.673228e-01,1.000000e+00,5.976471e+00,1.673228e-01,1.000000e+00,5.976471e+00,1.673228e-01,1.000000e+00,5.976471e+00,1.673228e-01,1.000000e+00,5.976471e+00,1.673228e-01,9.999996e-01,5.905883e+00,6.772905e-01,9.999996e-01,5.905883e+00,6.772905e-01,9.999996e-01,5.905883e+00,6.772905e-01,9.999996e-01,5.905883e+00,6.772905e-01,9.999996e-01,5.905883e+00,6.772905e-01,6.296297e-01,9.999997e-01,5.941177e+01,4.207919e-01
2.710000e+00,6.309964e-01,1.000000e+00,5.976608e+00,1.673190e-01,1.000000e+00,5.976608e+00,1.673190e-01,1.000000e+00,5.976608e+00,1.673190e-01,1.000000e+00,5.976608e+00,1.673190e-01,1.000000e+00,5.976608e+00,1.673190e-01,9.999996e-01,5.906433e+00,6.772274e-01,9.999996e-01,5.906433e+00,6.772274e-01,9.999996e-01,5.906433e+00,6.772274e-01,9.999996e-01,5.906433e+00,6.772274e-01,9.999996e-01,5.906433e+00,6.772274e-01,6.309964e-01,9.999997e-01,5.941521e+01,4.207676e-01
2.720000e+00,6.323530e-01,1.000000e+00,5.976744e+00,1.673152e-01,1.000000e+00,5.976744e+00,1.673152e-01,1.000000e+00,5.976744e+00,1.673152e-01,1.000000e+00,5.976744e+00,1.673152e-01,1.000000e+00,5.976744e+00,1.673152e-01,9.999997e-01,5.906977e+00,6.771651e-01,9.999997e-01,5.906977e+00,6.771651e-01,9.999997e-01,5.906977e+00,6.771651e-01,9.999997e-01,5.906977e+00,6.771651e-01,9.999997e-01,5.906977e+00,6.771651e-01,6.323530e-01,9.999997e-01,5.941861e+01,4.207435e-01
2.730000e+00,6.336997e-01,1.000000e+00,5.976879e+00,1.673114e-01,1.000000e+00,5.976879e+00,1.673114e-01,1.000000e+00,5.976879e+00,1.673114e-01,1.000000e+00,5.976879e+00,1.673114e-01,1.000000e+00,5.976879e+00,1.673114e-01,9.999997e-01,5.907515e+00,6.771035e-01,9.999997e-01,5.907515e+00,6.771035e-01,9.999997e-01,5.907515e+00,6.771035e-01,9.999997e-01,5.907515e+00,6.771035e-01,9.999997e-01,5.907515e+00,6.771035e-01,6.336997e-01,9.999997e-01,5.942197e+01,4.207197e-01
2.740000e+00,6.350366e-01,1.000000e+00,5.977012e+00,1.673077e-01,1.000000e+00,5.977012e+00,1.673077e-01,1.000000e+00,5.977012e+00,1.673077e-01,1.000000e+00,5.977012e+00,1.673077e-01,1.000000e+00,5.977012e+00,1.673077e-01,9.999997e-01,5.908046e+00,6.770425e-01,9.999997e-01,5.908046e+00,6.770425e-01,9.999997e-01,5.908046e+00,6.770425e-01,9.999997e-01,5.908046e+00,6.770425e-01,9.999997e-01,5.908046e+00,6.770425e-01,6.350366e-01,9.999997e-01,5.942529e+01,4.206962e-01
2.750000e+00,6.363637e-01,1.000000e+00,5.977143e+00,1.673040e-01,1.000000e+00,5.977143e+00,1.673040e-01,1.000000e+00,5.977143e+00,1.673040e-01,1.000000e+00,5.977143e+00,1.673040e-01,1.000000e+00,5.977143e+00,1.673040e-01,9.999997e-01,5.908572e+00,6.769823e-01,9.999997e-01,5.908572e+00,6.769823e-01,9.999997e-01,5.908572e+00,6.769823e-01,9.999997e-01,5.908572e+00,6.769823e-01,9.999997e-01,5.908572e+00,6.769823e-01,6.363637e-01,9.999997e-01,5.942857e+01,4.206730e-01
2.760000e+00,6.376812e-01,1.000000e+00,5.977273e+00,1.673004e-01,1.000000e+00,5.977273e+00,1.673004e-01,1.000000e+00,5.977273e+00,1.673004e-01,1.000000e+00,5.977273e+00,1.673004e-01,1.000000e+00,5.977273e+00,1.673004e-01,9.999997e-01,5.909091e+00,6.769228e-01,9.999997e-01,5.909091e+00,6.769228e-01,9.999997e-01,5.909091e+00,6.769228e-01,9.999997e-01,5.909091e+00,6.769228e-01,9.999997e-01,5.909091e+00,6.769228e-01,6.376812e-01,9.999998e-01,5.943182e+01,4.206500e-01
2.770000e+00,6.389893e-01,1.000000e+00,5.977401e+00,1.672968e-01,1.000000e+00,5.977401e+00,1.672968e-01,1.000000e+00,5.977401e+00,1.672968e-01,1.000000e+00,5.977401e+00,1.672968e-01,1.000000e+00,5.977401e+00,1.672968e-01,9.999997e-01,5.909605e+00,6.768640e-01,9.999997e-01,5.909605e+00,6.768640e-01,9.999997e-01,5.909605e+00,6.768640e-01,9.999997e-01,5.909605e+00,6.768640e-01,9.999997e-01,5.909605e+00,6.768640e-01,6.389893e-01,9.999998e-01,5.943503e+01,4.206273e-01
