rho,1beta,1eta,1L,1gamma,2beta,2eta,2L,2gamma,3beta,3eta,3L,3gamma,6beta,6eta,6L,6gamma,10beta,10eta,10L,10gamma
1.7939250000000002,0.5035625290574537,0.8905715900606075,9.173961706618481,2.426900227352464,0.4525267263242256,0.9821259924788136,18.858998555865412,1.3019328539231458,0.44426319774083417,0.9969501429927741,28.76848660939994,0.8663560900237156,0.44257132855066117,0.9999852294297553,58.74067939338136,0.4255931493117992,0.4425631014289526,0.9999999882690663,98.7404354852616,0.2531890768342647
1.78145,0.5006544997430518,0.8895590414327404,9.166125417480776,2.4262133696541417,0.448914420729193,0.981731405191979,18.84397073759232,1.3024476354570775,0.4404333069305669,0.9968400853685415,28.750005728022607,0.8668172928370258,0.438668465313273,0.9999840624676697,58.720596920578686,0.4257382055482922,0.4386595264225265,0.9999999866545902,98.72032795154885,0.2532406464313465
1.7689750000000002,0.49771535373366005,0.8885289821289988,9.158150107781573,2.4255143551698994,0.44525827203717205,0.9813242482230436,18.828575136323074,1.302972000162038,0.4365523498700203,0.9967248068886809,28.730989175464643,0.8672907159596268,0.43471061664477906,0.9999827869208021,58.69986501552446,0.4258880265978187,0.4347008947031569,0.999999984792483,98.69956802040353,0.2532939112220226
1.7565,0.4947446709393426,0.8874809854950447,9.15003229442621,2.424802877569237,0.44155763694782635,0.980904010701143,18.81279920306649,1.3035061929290879,0.4326194113950355,0.9966040038846202,28.711414651331445,0.8677768197660057,0.43069661762384026,0.9999813911437245,58.67845180225414,0.42604284896338657,0.43068603322473065,0.9999999826407606,98.67812341823685,0.25334895618210274
1.7440250000000002,0.491742026705432,0.8864146118750591,9.141768384659068,2.424078620725515,0.43781186789377763,0.9804701570965545,18.79662986083651,1.3040504659021364,0.4286335620114034,0.9964773520130622,28.691258679772055,0.8682760863987468,0.4266252708099505,0.9999798620756761,58.65632330021992,0.4262029248566654,0.4266137353824484,0.9999999801496255,98.65595970720939,0.25340587206222004
1.73155,0.48870699191401984,0.8853294081512788,9.13335467201567,2.4233412583437226,0.43402031366167537,0.980022125879126,18.780053479324863,1.3046050786783456,0.4245938582974546,0.9963445046650423,28.67049653673575,0.8687890209613371,0.4224953451830378,0.9999781850483109,58.633443249729496,0.4263685235016981,0.4224827598048684,0.9999999772598801,98.63304010075471,0.2534647558866606
1.7190750000000001,0.4856391331002245,0.8842249072657316,9.124787332108736,2.4225904535722136,0.43018232008588225,0.979559328098362,18.763055848286697,1.305170298509515,0.420499343402289,0.9962050912407101,28.64910217224611,0.8693161527813832,0.41830557505367616,0.9999763435646017,58.609772920004545,0.4265399325678381,0.4182918290935592,0.9999999739009897,98.60932525991413,0.25352571150476727
1.7066,0.4825380125843981,0.8831006277234661,9.116062418241114,2.4218258585976606,0.4262972308211924,0.979081145880553,18.745622149577628,1.3057464005037218,0.4163490476515998,0.9960587152777797,28.627048127339073,0.8698580367482381,0.4140546589451775,0.9999743190441601,58.58527089784964,0.42671745974672276,0.41403962850772763,0.9999999699887119,98.58477306811363,0.25358885020149047
1.694125,0.4794031886215203,0.881956073076567,9.10717585683816,2.421047114222426,0.422364388201514,0.9785869308381101,18.727736927778704,1.3063336678263833,0.41214198927440826,0.9959049524204932,28.604305445287498,0.87041525472922,0.4097412584494034,0.9999720905294046,58.559892854661314,0.42690143448999146,0.409724804591049,0.9999999654221892,98.55933838167593,0.25365429137461326
1.6816499999999999,0.47623421556910156,0.8807907313882204,9.098123442691799,2.420253849423555,0.41838313419200196,0.9780760023860199,18.709384059344025,1.3069323918998013,0.4078771752655349,0.9957433482147131,28.58084357671141,0.8709884170686943,0.4053639970588402,0.9999696343460013,58.53359128920557,0.4270922099266486,0.40534596373777404,0.9999999600803721,98.53297275296441,0.25372216328728564
