rho,betak1,betak2,etai1,Li1,gammai1,etai2,Li2,gammai2,etai3,Li3,gammai3,etai4,Li4,gammai4,etai5,Li5,gammai5,etai6,Li6,gammai6,etai7,Li7,gammai7,etai8,Li8,gammai8,etai9,Li9,gammai9,etai10,Li10,gammai10,beta,eta,L,gamma
1.930000e+00,1.608356e-01,5.639266e-01,9.907179e-01,4.944235e+00,2.003784e-01,9.907179e-01,4.944235e+00,2.003784e-01,9.907179e-01,4.944235e+00,2.003784e-01,9.999993e-01,5.892829e+00,1.696977e-01,9.999993e-01,5.892829e+00,1.696977e-01,9.999993e-01,5.892829e+00,1.696977e-01,9.999993e-01,5.892829e+00,1.696977e-01,9.999991e-01,5.887463e+00,1.698523e-01,9.999991e-01,5.887463e+00,1.698523e-01,9.999991e-01,5.887463e+00,1.698523e-01,4.833084e-01,9.972148e-01,5.606641e+01,1.778632e-01
1.940000e+00,1.639094e-01,5.664065e-01,9.911358e-01,4.961611e+00,1.997609e-01,9.911358e-01,4.961611e+00,1.997609e-01,9.911358e-01,4.961611e+00,1.997609e-01,9.999993e-01,5.893950e+00,1.696654e-01,9.999993e-01,5.893950e+00,1.696654e-01,9.999993e-01,5.893950e+00,1.696654e-01,9.999993e-01,5.893950e+00,1.696654e-01,9.999992e-01,5.888546e+00,1.698211e-01,9.999992e-01,5.888546e+00,1.698211e-01,9.999992e-01,5.888546e+00,1.698211e-01,4.859071e-01,9.973402e-01,5.612627e+01,1.776958e-01
1.950000e+00,1.669762e-01,5.688588e-01,9.915336e-01,4.978543e+00,1.991614e-01,9.915336e-01,4.978543e+00,1.991614e-01,9.915336e-01,4.978543e+00,1.991614e-01,9.999993e-01,5.895048e+00,1.696338e-01,9.999993e-01,5.895048e+00,1.696338e-01,9.999993e-01,5.895048e+00,1.696338e-01,9.999993e-01,5.895048e+00,1.696338e-01,9.999992e-01,5.889608e+00,1.697904e-01,9.999992e-01,5.889608e+00,1.697904e-01,9.999992e-01,5.889608e+00,1.697904e-01,4.884823e-01,9.974596e-01,5.618465e+01,1.775324e-01
1.960000e+00,1.700355e-01,5.712837e-01,9.919122e-01,4.995045e+00,1.985792e-01,9.919122e-01,4.995045e+00,1.985792e-01,9.919122e-01,4.995045e+00,1.985792e-01,9.999994e-01,5.896125e+00,1.696028e-01,9.999994e-01,5.896125e+00,1.696028e-01,9.999994e-01,5.896125e+00,1.696028e-01,9.999994e-01,5.896125e+00,1.696028e-01,9.999993e-01,5.890650e+00,1.697604e-01,9.999993e-01,5.890650e+00,1.697604e-01,9.999993e-01,5.890650e+00,1.697604e-01,4.910341e-01,9.975732e-01,5.624159e+01,1.773729e-01
1.970000e+00,1.730866e-01,5.736818e-01,9.922727e-01,5.011129e+00,1.980138e-01,9.922727e-01,5.011129e+00,1.980138e-01,9.922727e-01,5.011129e+00,1.980138e-01,9.999994e-01,5.897181e+00,1.695725e-01,9.999994e-01,5.897181e+00,1.695725e-01,9.999994e-01,5.897181e+00,1.695725e-01,9.999994e-01,5.897181e+00,1.695725e-01,9.999993e-01,5.891671e+00,1.697310e-01,9.999993e-01,5.891671e+00,1.697310e-01,9.999993e-01,5.891671e+00,1.697310e-01,4.935628e-01,9.976814e-01,5.629712e+01,1.772171e-01
1.980000e+00,1.761290e-01,5.760534e-01,9.926159e-01,5.026806e+00,1.974645e-01,9.926159e-01,5.026806e+00,1.974645e-01,9.926159e-01,5.026806e+00,1.974645e-01,9.999994e-01,5.898216e+00,1.695427e-01,9.999994e-01,5.898216e+00,1.695427e-01,9.999994e-01,5.898216e+00,1.695427e-01,9.999994e-01,5.898216e+00,1.695427e-01,9.999993e-01,5.892673e+00,1.697022e-01,9.999993e-01,5.892673e+00,1.697022e-01,9.999993e-01,5.892673e+00,1.697022e-01,4.960685e-01,9.977844e-01,5.635130e+01,1.770650e-01
1.990000e+00,1.791621e-01,5.783989e-01,9.929427e-01,5.042088e+00,1.969309e-01,9.929427e-01,5.042088e+00,1.969309e-01,9.929427e-01,5.042088e+00,1.969309e-01,9.999995e-01,5.899230e+00,1.695136e-01,9.999995e-01,5.899230e+00,1.695136e-01,9.999995e-01,5.899230e+00,1.695136e-01,9.999995e-01,5.899230e+00,1.695136e-01,9.999994e-01,5.893655e+00,1.696739e-01,9.999994e-01,5.893655e+00,1.696739e-01,9.999994e-01,5.893655e+00,1.696739e-01,4.985515e-01,9.978824e-01,5.640415e+01,1.769165e-01
2.000000e+00,1.821855e-01,5.807188e-01,9.932539e-01,5.056987e+00,1.964122e-01,9.932539e-01,5.056987e+00,1.964122e-01,9.932539e-01,5.056987e+00,1.964122e-01,9.999995e-01,5.900225e+00,1.694850e-01,9.999995e-01,5.900225e+00,1.694850e-01,9.999995e-01,5.900225e+00,1.694850e-01,9.999995e-01,5.900225e+00,1.694850e-01,9.999994e-01,5.894620e+00,1.696461e-01,9.999994e-01,5.894620e+00,1.696461e-01,9.999994e-01,5.894620e+00,1.696461e-01,5.010121e-01,9.979758e-01,5.645572e+01,1.767714e-01
2.010000e+00,1.851987e-01,5.830133e-01,9.935503e-01,5.071513e+00,1.959081e-01,9.935503e-01,5.071513e+00,1.959081e-01,9.935503e-01,5.071513e+00,1.959081e-01,9.999995e-01,5.901202e+00,1.694569e-01,9.999995e-01,5.901202e+00,1.694569e-01,9.999995e-01,5.901202e+00,1.694569e-01,9.999995e-01,5.901202e+00,1.694569e-01,9.999994e-01,5.895566e+00,1.696189e-01,9.999994e-01,5.895566e+00,1.696189e-01,9.999994e-01,5.895566e+00,1.696189e-01,5.034504e-01,9.980647e-01,5.650604e+01,1.766297e-01
2.020000e+00,1.882013e-01,5.852830e-01,9.938325e-01,5.085677e+00,1.954179e-01,9.938325e-01,5.085677e+00,1.954179e-01,9.938325e-01,5.085677e+00,1.954179e-01,9.999995e-01,5.902159e+00,1.694294e-01,9.999995e-01,5.902159e+00,1.694294e-01,9.999995e-01,5.902159e+00,1.694294e-01,9.999995e-01,5.902159e+00,1.694294e-01,9.999995e-01,5.896495e+00,1.695922e-01,9.999995e-01,5.896495e+00,1.695922e-01,9.999995e-01,5.896495e+00,1.695922e-01,5.058666e-01,9.981494e-01,5.655515e+01,1.764913e-01
2.030000e+00,1.911928e-01,5.875281e-01,9.941013e-01,5.099489e+00,1.949413e-01,9.941013e-01,5.099489e+00,1.949413e-01,9.941013e-01,5.099489e+00,1.949413e-01,9.999996e-01,5.903099e+00,1.694025e-01,9.999996e-01,5.903099e+00,1.694025e-01,9.999996e-01,5.903099e+00,1.694025e-01,9.999996e-01,5.903099e+00,1.694025e-01,9.999995e-01,5.897407e+00,1.695660e-01,9.999995e-01,5.897407e+00,1.695660e-01,9.999995e-01,5.897407e+00,1.695660e-01,5.082610e-01,9.982301e-01,5.660309e+01,1.763561e-01
