rho,betak1,Li1,gammai1,Li2,gammai2,Li3,gammai3,Li4,gammai4,Li5,gammai5,Li6,gammai6,beta,eta,L,gamma
2.800000e-01,7.283079e-27,9.006321e-01,0.000000e+00,1.007640e+00,0.000000e+00,9.006321e-01,0.000000e+00,1.215809e-01,0.000000e+00,1.255938e-01,0.000000e+00,1.215809e-01,0.000000e+00,7.283079e-27,2.800000e-01,3.177660e+00,2.202879e+00
2.850000e-01,1.989069e-26,9.352283e-01,0.000000e+00,1.047353e+00,0.000000e+00,9.352283e-01,0.000000e+00,1.244711e-01,0.000000e+00,1.286659e-01,0.000000e+00,1.244711e-01,0.000000e+00,1.989069e-26,2.850000e-01,3.295418e+00,2.162093e+00
2.900000e-01,5.327113e-26,9.710067e-01,0.000000e+00,1.088377e+00,0.000000e+00,9.710067e-01,0.000000e+00,1.274060e-01,0.000000e+00,1.317891e-01,0.000000e+00,1.274060e-01,0.000000e+00,5.327113e-26,2.900000e-01,3.416991e+00,2.121750e+00
2.950000e-01,1.399920e-25,1.008004e+00,0.000000e+00,1.130744e+00,0.000000e+00,1.008004e+00,0.000000e+00,1.303875e-01,0.000000e+00,1.349656e-01,0.000000e+00,1.303875e-01,0.000000e+00,1.399920e-25,2.950000e-01,3.542492e+00,2.081868e+00
3.000000e-01,3.611861e-25,1.046255e+00,0.000000e+00,1.174486e+00,0.000000e+00,1.046255e+00,0.000000e+00,1.334176e-01,0.000000e+00,1.381976e-01,0.000000e+00,1.334176e-01,0.000000e+00,3.611861e-25,3.000000e-01,3.672029e+00,2.042468e+00
3.050000e-01,9.153984e-25,1.085796e+00,0.000000e+00,1.219631e+00,0.000000e+00,1.085796e+00,0.000000e+00,1.364983e-01,0.000000e+00,1.414875e-01,0.000000e+00,1.364983e-01,0.000000e+00,9.153984e-25,3.050000e-01,3.805707e+00,2.003570e+00
3.100000e-01,2.280147e-24,1.126661e+00,0.000000e+00,1.266208e+00,0.000000e+00,1.126661e+00,0.000000e+00,1.396319e-01,0.000000e+00,1.448379e-01,0.000000e+00,1.396319e-01,0.000000e+00,2.280147e-24,3.100000e-01,3.943631e+00,1.965194e+00
3.150000e-01,5.584706e-24,1.168883e+00,0.000000e+00,1.314240e+00,0.000000e+00,1.168883e+00,0.000000e+00,1.428206e-01,0.000000e+00,1.482513e-01,0.000000e+00,1.428206e-01,0.000000e+00,5.584706e-24,3.150000e-01,4.085898e+00,1.927361e+00
3.200000e-01,1.345621e-23,1.212492e+00,0.000000e+00,1.363753e+00,0.000000e+00,1.212492e+00,0.000000e+00,1.460668e-01,0.000000e+00,1.517304e-01,0.000000e+00,1.460668e-01,0.000000e+00,1.345621e-23,3.200000e-01,4.232602e+00,1.890090e+00
3.250000e-01,3.190956e-23,1.257520e+00,0.000000e+00,1.414764e+00,0.000000e+00,1.257520e+00,0.000000e+00,1.493730e-01,0.000000e+00,1.552781e-01,0.000000e+00,1.493730e-01,0.000000e+00,3.190956e-23,3.250000e-01,4.383828e+00,1.853403e+00
3.300000e-01,7.450329e-23,1.303991e+00,0.000000e+00,1.467292e+00,0.000000e+00,1.303991e+00,0.000000e+00,1.527417e-01,0.000000e+00,1.588974e-01,0.000000e+00,1.527417e-01,0.000000e+00,7.450329e-23,3.300000e-01,4.539655e+00,1.817319e+00
3.350000e-01,1.713402e-22,1.351932e+00,0.000000e+00,1.521349e+00,0.000000e+00,1.351932e+00,0.000000e+00,1.561757e-01,0.000000e+00,1.625913e-01,0.000000e+00,1.561757e-01,0.000000e+00,1.713402e-22,3.350000e-01,4.700155e+00,1.781856e+00
3.400000e-01,3.882728e-22,1.401362e+00,0.000000e+00,1.576945e+00,0.000000e+00,1.401362e+00,0.000000e+00,1.596776e-01,0.000000e+00,1.663629e-01,0.000000e+00,1.596776e-01,0.000000e+00,3.882728e-22,3.400000e-01,4.865386e+00,1.747035e+00
3.450000e-01,8.672916e-22,1.452299e+00,0.000000e+00,1.634084e+00,0.000000e+00,1.452299e+00,0.000000e+00,1.632503e-01,0.000000e+00,1.702157e-01,0.000000e+00,1.632503e-01,0.000000e+00,8.672916e-22,3.450000e-01,5.035399e+00,1.712873e+00
3.500000e-01,1.910265e-21,1.504757e+00,0.000000e+00,1.692768e+00,0.000000e+00,1.504757e+00,0.000000e+00,1.668969e-01,0.000000e+00,1.741530e-01,0.000000e+00,1.668969e-01,0.000000e+00,1.910265e-21,3.500000e-01,5.210230e+00,1.679389e+00
3.550000e-01,4.150171e-21,1.558746e+00,0.000000e+00,1.752991e+00,0.000000e+00,1.558746e+00,0.000000e+00,1.706202e-01,0.000000e+00,1.781783e-01,0.000000e+00,1.706202e-01,0.000000e+00,4.150171e-21,3.550000e-01,5.389903e+00,1.646597e+00
3.600000e-01,8.896499e-21,1.614271e+00,0.000000e+00,1.814744e+00,0.000000e+00,1.614271e+00,0.000000e+00,1.744234e-01,0.000000e+00,1.822952e-01,0.000000e+00,1.744234e-01,0.000000e+00,8.896499e-21,3.600000e-01,5.574427e+00,1.614516e+00
3.650000e-01,1.882282e-20,1.671330e+00,0.000000e+00,1.878010e+00,0.000000e+00,1.671330e+00,0.000000e+00,1.783096e-01,0.000000e+00,1.865073e-01,0.000000e+00,1.783096e-01,0.000000e+00,1.882282e-20,3.650000e-01,5.763797e+00,1.583158e+00
3.700000e-01,3.931775e-20,1.729919e+00,0.000000e+00,1.942768e+00,0.000000e+00,1.729919e+00,0.000000e+00,1.822821e-01,0.000000e+00,1.908186e-01,0.000000e+00,1.822821e-01,0.000000e+00,3.931775e-20,3.700000e-01,5.957988e+00,1.552538e+00
3.750000e-01,8.110593e-20,1.790025e+00,0.000000e+00,2.008990e+00,0.000000e+00,1.790025e+00,0.000000e+00,1.863442e-01,0.000000e+00,1.952328e-01,0.000000e+00,1.863442e-01,0.000000e+00,8.110593e-20,3.750000e-01,6.156961e+00,1.522667e+00
3.800000e-01,1.652697e-19,1.851631e+00,0.000000e+00,2.076643e+00,0.000000e+00,1.851631e+00,0.000000e+00,1.904991e-01,0.000000e+00,1.997539e-01,0.000000e+00,1.904991e-01,0.000000e+00,1.652697e-19,3.800000e-01,6.360658e+00,1.493556e+00
3.850000e-01,3.327537e-19,1.914715e+00,0.000000e+00,2.145686e+00,0.000000e+00,1.914715e+00,0.000000e+00,1.947503e-01,0.000000e+00,2.043857e-01,0.000000e+00,1.947503e-01,0.000000e+00,3.327537e-19,3.850000e-01,6.569002e+00,1.465215e+00
3.900000e-01,6.621411e-19,1.979245e+00,0.000000e+00,2.216072e+00,0.000000e+00,1.979245e+00,0.000000e+00,1.991011e-01,0.000000e+00,2.091323e-01,0.000000e+00,1.991011e-01,0.000000e+00,6.621411e-19,3.900000e-01,6.781897e+00,1.437651e+00
3.950000e-01,1.302510e-18,2.045186e+00,0.000000e+00,2.287749e+00,0.000000e+00,2.045186e+00,0.000000e+00,2.035548e-01,0.000000e+00,2.139978e-01,0.000000e+00,2.035548e-01,0.000000e+00,1.302510e-18,3.950000e-01,6.999228e+00,1.410870e+00
4.000000e-01,2.533475e-18,2.112494e+00,0.000000e+00,2.360657e+00,0.000000e+00,2.112494e+00,0.000000e+00,2.081150e-01,0.000000e+00,2.189861e-01,0.000000e+00,2.081150e-01,0.000000e+00,2.533475e-18,4.000000e-01,7.220861e+00,1.384876e+00
4.050000e-01,4.873667e-18,2.181121e+00,0.000000e+00,2.434731e+00,0.000000e+00,2.181121e+00,0.000000e+00,2.127850e-01,0.000000e+00,2.241015e-01,0.000000e+00,2.127850e-01,0.000000e+00,4.873667e-18,4.050000e-01,7.446643e+00,1.359673e+00
4.100000e-01,9.274591e-18,2.251010e+00,0.000000e+00,2.509900e+00,0.000000e+00,2.251010e+00,0.000000e+00,2.175682e-01,0.000000e+00,2.293478e-01,0.000000e+00,2.175682e-01,0.000000e+00,9.274591e-18,4.100000e-01,7.676404e+00,1.335261e+00
4.150000e-01,1.746332e-17,2.322101e+00,0.000000e+00,2.586088e+00,0.000000e+00,2.322101e+00,0.000000e+00,2.224679e-01,0.000000e+00,2.347291e-01,0.000000e+00,2.224679e-01,0.000000e+00,1.746332e-17,4.150000e-01,7.909955e+00,1.311638e+00
4.200000e-01,3.254193e-17,2.394326e+00,0.000000e+00,2.663213e+00,0.000000e+00,2.394326e+00,0.000000e+00,2.274875e-01,0.000000e+00,2.402496e-01,0.000000e+00,2.274875e-01,0.000000e+00,3.254193e-17,4.200000e-01,8.147090e+00,1.288804e+00
4.250000e-01,6.002513e-17,2.467613e+00,0.000000e+00,2.741190e+00,0.000000e+00,2.467613e+00,0.000000e+00,2.326303e-01,0.000000e+00,2.459131e-01,0.000000e+00,2.326303e-01,0.000000e+00,6.002513e-17,4.250000e-01,8.387589e+00,1.266753e+00
4.300000e-01,1.096184e-16,2.541883e+00,0.000000e+00,2.819929e+00,0.000000e+00,2.541883e+00,0.000000e+00,2.378994e-01,0.000000e+00,2.517237e-01,0.000000e+00,2.378994e-01,0.000000e+00,1.096184e-16,4.300000e-01,8.631217e+00,1.245479e+00
4.350000e-01,1.982346e-16,2.617055e+00,0.000000e+00,2.899337e+00,0.000000e+00,2.617055e+00,0.000000e+00,2.432982e-01,0.000000e+00,2.576852e-01,0.000000e+00,2.432982e-01,0.000000e+00,1.982346e-16,4.350000e-01,8.877728e+00,1.224976e+00
