S,L,R,G
157,0.6117910839426145,0.4650841896871827,0.29418582869651144
158,0.6105094062942461,0.4650841695151452,0.2940010777999475
159,0.6092483681843847,0.46508415116125784,0.29381887093425424
160,0.6080075327146813,0.46508413446164343,0.293639156526194
161,0.6067864728140625,0.46508411926719684,0.2934618843729379
162,0.6055847710812644,0.46508410544225187,0.2932870055972503
163,0.6044020196230431,0.46508409286337116,0.29311447260440615
164,0.6032378198888041,0.46508408141824353,0.2929442390407657
165,0.6020917825023333,0.4650840710046808,0.29277625975393284
166,0.6009635270912621,0.46508406152970544,0.29261049075442613
167,0.5998526821148343,0.4650840529087201,0.2924468891787984
168,0.5987588846905069,0.46508404506475337,0.2922854132541397
169,0.5976817804198596,0.4650840379277709,0.2921260222639057
170,0.5966210232142576,0.4650840314340509,0.2919686765150131
171,0.5955762751206524,0.46508402552561473,0.29181333730614833
172,0.5945472061478897,0.4650840201497108,0.29165996689723955
173,0.5935334940938409,0.4650840152583399,0.2915085284800394
174,0.5925348243736551,0.46508401080783185,0.29135898614977496
175,0.5915508898493881,0.46508400675845,0.29121130487781943
176,0.5905813906612448,0.46508400307404124,0.291065450485342
177,0.5896260340606374,0.46508399972170966,0.29092138961789715
178,0.5886845342452504,0.4650839966715251,0.29077908972091404
179,0.587756612196263,0.4650839938962548,0.2906385190160482
180,0.5868419955178801,0.46508399137112033,0.29049964647836296
181,0.585940418279282,0.4650839890735768,0.2903624418143048
182,0.5850516208591106,0.46508398698311143,0.2902268754404422
183,0.584175349792564,0.46508398508105997,0.2900929184629363
184,0.5833113576211894,0.4650839833504413,0.2899605426577152
185,0.582459402745424,0.46508398177580285,0.28982972045132394
186,0.5816192492799354,0.46508398034308707,0.28970042490242337
187,0.5807906669117984,0.4650839790395024,0.28957262968391306
188,0.5799734307615337,0.46508397785340916,0.28944630906565216
189,0.5791673212470305,0.4650839767742192,0.28932143789775877
190,0.5783721239503548,0.46508397579229627,0.2891979915944611
191,0.5775876294874511,0.46508397489887415,0.2890759461184831
192,0.5768136333807331,0.46508397408597624,0.2889552779659417
193,0.5760499359345409,0.4650839733463445,0.28883596415173735
194,0.5752963421134689,0.46508397267337614,0.28871798219541933
195,0.5745526614235151,0.4650839720610621,0.28860131010750834
196,0.5738187077960554,0.46508397150393593,0.2884859263762571
197,0.5730942994745905,0.46508397099702364,0.2883718099548363
198,0.5723792589042366,0.46508397053579914,0.28825894024892734
199,0.5716734126239373,0.4650839701161448,0.288147297104708
200,0.5709765911613365,0.465083969734314,0.28803686079721663
201,0.5702886289302885,0.46508396938689706,0.28792761201908124
202,0.5696093641309543,0.46508396907079347,0.28781953186959947
203,0.568938638652438,0.4650839687831799,0.28771260184415826
204,0.568276297977923,0.4650839685214887,0.2876068038239793
205,0.5676221910922579,0.46508396828338405,0.2875021200661806
206,0.5669761703919388,0.4650839680667395,0.2873985331941406
207,0.5663380915974519,0.4650839678696212,0.2872960261881572
208,0.5657078136679138,0.4650839676902691,0.28719458237638756
209,0.5650851987179687,0.46508396752708203,0.2870941854260623
210,0.564470111936888,0.465083967378603,0.28699481933496335
211,0.5638624215098292,0.4650839672435061,0.28689646842315464
212,0.5632619985411922,0.46508396712058564,0.2867991173249596
213,0.5626687169800383,0.46508396700874427,0.2867027509811758
214,0.5620824535475158,0.4650839669069826,0.2866073546315183
215,0.5615030876662366,0.46508396681439285,0.2865129138072839
216,0.56093050139157,0.46508396673014835,0.2864194143242297
217,0.5603645793447978,0.4650839666534969,0.28632684227565836
218,0.5598052086480783,0.4650839665837536,0.2862351840257023
219,0.5592522788611898,0.4650839665202965,0.2861444262028017
220,0.5587056819199868,0.46508396646255906,0.28605455569336885
221,0.5581653120765394,0.4650839664100249,0.2859655596356321
222,0.5576310658409084,0.46508396636222604,0.2858774254136562
223,0.5571028419245049,0.465083966318735,0.285790140651529
224,0.5565805411850058,0.4650839662791639,0.2857036932077132
225,0.5560640665727686,0.46508396624315973,0.28561807116955584
226,0.5555533230787149,0.4650839662104001,0.285533262847949
227,0.555048217683641,0.4650839661805933,0.2854492567721415
228,0.5545486593089106,0.46508396615347286,0.2853660416846903
229,0.5540545587684992,0.4650839661287968,0.28528360653655394
230,0.5535658287223477,0.4650839661063449,0.2852019404823166
231,0.5530823836309899,0.4650839660859164,0.28512103287554597
232,0.5526041397114203,0.46508396606732927,0.28504087326427396
233,0.5521310148941628,0.4650839660504174,0.28496145138660073
234,0.5516629287815136,0.4650839660350296,0.28488275716641664
235,0.5511998026069165,0.465083966021029,0.2848047807092388
236,0.5507415591954471,0.46508396600829033,0.2847275122981586
237,0.5502881229253642,0.4650839659966994,0.28465094238989574
238,0.549839419690715,0.4650839659861533,0.28457506161095875
239,0.5493953768649406,0.46508396597655793,0.2844998607539035
240,0.5489559232654733,0.46508396596782725,0.2844253307736923
241,0.5485209891192916,0.4650839659598835,0.2843514627841465
242,0.5480905060293968,0.46508396595265544,0.284278248054492
243,0.5476644069421973,0.4650839659460792,0.28420567800599333
244,0.5472426261157682,0.4650839659400955,0.2841337442086753
245,0.5468250990889599,0.46508396593465096,0.2840624383781283
246,0.5464117626513352,0.4650839659296977,0.2839917523723943
247,0.5460025548139096,0.4650839659251902,0.2839216781889345
248,0.545597414780669,0.4650839659210895,0.2838522079616705
249,0.5451962829208491,0.46508396591735807,0.28378333395810384
250,0.5447991007419435,0.46508396591396295,0.28371504857650454
251,0.5444058108634351,0.465083965910874,0.2836473443431717
252,0.5440163569912142,0.46508396590806345,0.28358021390976257
253,0.5436306838926732,0.46508396590550616,0.2835136500506872
254,0.5432487373724582,0.46508396590317913,0.2834476456605674
255,0.5428704642488514,0.4650839659010622,0.28338219375175955
256,0.5424958123307789,0.4650839658991359,0.2833172874519365
