rho,d6,d8,d9,d12,d6m,d12m,dm
0.62,0.42018012213389144,0.20624902190931962,0.18340609886785247,0.11912291324600997,0.3583964348329539,0.13366992049455398,0.246033177663754
0.621,0.42072810736346067,0.20651299665095793,0.183642008519469,0.11928248133170989,0.35871754115693144,0.13388145843663016,0.2462994997967808
0.622,0.4212780172699949,0.20677792462292158,0.18387877851369347,0.11944266241637957,0.35903965226385026,0.134093810884197,0.24656673157402362
0.623,0.4218298634541769,0.20704381179360576,0.18411641429348685,0.11960346057473042,0.3593627741039427,0.1343069830979067,0.24683487860092465
0.624,0.4223836576172445,0.20731066418527422,0.1843549213514271,0.11976487992029959,0.3596869126799295,0.13452098038686514,0.24710394653339737
0.625,0.42293941156213394,0.20757848787469685,0.18459430523030146,0.11992692460593242,0.360012074047636,0.1347358081092141,0.24737394107842503
0.626,0.42349713719464016,0.20784728899379704,0.18483457152370897,0.12008959882427195,0.36033826431661614,0.13495147167272264,0.24764486799466945
0.627,0.4240568465245923,0.2081170737303082,0.18507572587667023,0.12025290680825615,0.36066548965078693,0.1351679765353873,0.2479167330930871
0.628,0.4246185516670473,0.2083878483284399,0.1853177739862477,0.12041685283162276,0.36099375626907126,0.13538532820604077,0.24818954223755602
0.629,0.4251822648434992,0.2086596190895547,0.18556072160217416,0.12058144120942182,0.3613230704460513,0.13560353224497024,0.24846330134551067
0.63,0.425747998383106,0.20893239237285363,0.18580457452749144,0.12074667629853635,0.3616534385126298,0.135822594264545,0.24873801638858742
0.631,0.4263157647239348,0.20920617459607327,0.1860493386191982,0.12091256249821077,0.3619848668567035,0.13604251992985295,0.24901369339327828
0.632,0.42688557641422437,0.20948097223619241,0.1862950197889075,0.12107910425058795,0.36231736192384506,0.1362633149593475,0.24929033844159623
0.633,0.4274574461136654,0.20975679183014914,0.18654162400351465,0.12124630604125441,0.36265093021799427,0.13648498512550358,0.249567957671749
0.634,0.42803138659469975,0.21003363997556967,0.18678915728587478,0.1214141723997941,0.36298557830216305,0.13670753625548426,0.24984655727882363
0.635,0.42860741074383857,0.2103115233315073,0.18703762571549096,0.1215827079003507,0.36332131279914665,0.13693097423181694,0.2501261435154818
0.636,0.4291855315629994,0.2105904486191926,0.18728703542921263,0.12175191716219931,0.3636581403922493,0.1371553049930803,0.2504067226926648
0.637,0.42976576217086243,0.210870422622795,0.18753739262194466,0.12192180485032646,0.36399606782601857,0.1373805345346016,0.25068830118031005
0.638,0.4303481158042474,0.2111514521901968,0.18778870354736787,0.12209237567601997,0.3643351019069913,0.1376066689091649,0.2509708854080781
0.639,0.4309326058195095,0.21143354423377736,0.18804097451866952,0.1222636343974675,0.364675249504452,0.1378337142277298,0.25125448186609084
