p,r6l,r12l,r6m,r12m,r6h,r12h
0.40800000000000003,0.18375725199219045,0.09558861349308914,0.4146492319285175,0.2932052142365047,1.3990402755834646,1.2657625370381407
0.40900000000000003,0.18376491964232017,0.09559232234606355,0.41476239738079895,0.2932803931359636,1.3992501765763177,1.265918786760374
0.41000000000000003,0.18377258807906638,0.09559603157571067,0.4148756513151063,0.2933556324680634,1.3994603176322216,1.2660752241937674
0.41100000000000003,0.18378025730255798,0.09559974118209189,0.4149889938394263,0.29343093230751466,1.399670699176951,1.266231849680871
0.41200000000000003,0.1837879273129239,0.0956034511652686,0.41510242506192574,0.29350629272915263,1.3998813216372734,1.2663886635650643
0.41300000000000003,0.18379559811029328,0.0956071615253022,0.4152159450909524,0.293581713807939,1.4000921854410016,1.2665456661905532
0.41400000000000003,0.18380326969479502,0.09561087226225409,0.41532955403503463,0.29365719561896136,1.4003032910169964,1.266702857902416
0.41500000000000004,0.18381094206655832,0.09561458337618567,0.4154432520028821,0.29373273823743373,1.4005146387950975,1.2668602390465276
0.41600000000000004,0.18381861522571222,0.09561829486715841,0.41555703910338737,0.293808341738697,1.4007262292062523,1.267017809969687
0.41700000000000004,0.1838262891723858,0.09562200673523379,0.41567091544562357,0.2938840061982186,1.4009380626823866,1.2671755710194996
0.418,0.18383396390670825,0.09562571898047317,0.41578488113884776,0.29395973169159373,1.401150139656512,1.2673335225444238
0.419,0.18384163942880868,0.09562943160293814,0.41589893629249924,0.29403551829454455,1.4013624605626676,1.2674916648938215
0.42,0.18384931573881647,0.09563314460269014,0.41601308101620116,0.29411136608292154,1.401575025835965,1.26764999841785
0.421,0.1838569928368607,0.09563685797979064,0.4161273154197595,0.2941872751327024,1.4017878359125266,1.2678085234675798
0.422,0.1838646707230707,0.09564057173430122,0.41624163961316596,0.2942632455199942,1.4020008912295818,1.2679672403949351
0.423,0.1838723493975758,0.09564428586628342,0.4163560537065952,0.2943392773210318,1.4022141922253615,1.268126149552703
0.424,0.18388002886050528,0.09564800037579871,0.41647055781040787,0.29441537061217926,1.4024277393392517,1.2682852512945484
0.425,0.18388770911198854,0.09565171526290875,0.4165851520351492,0.2944915254699297,1.4026415330115878,1.268444545975005
0.426,0.18389539015215495,0.09565543052767501,0.4166998364915509,0.2945677419709058,1.402855573683891,1.2686040339495241
0.427,0.18390307198113381,0.09565914617015916,0.41681461129052977,0.29464402019185953,1.403069861798634,1.2687637155743439
0.428,0.18391075459905476,0.09566286219042278,0.4169294765431905,0.2947203602096736,1.4032843977994953,1.2689235912066739
0.429,0.18391843800604718,0.09566657858852748,0.4170444323608235,0.2947967621013603,1.403499182131124,1.2690836612046048
0.43,0.18392612220224056,0.09567029536453488,0.41715947885490723,0.2948732259440626,1.4037142152393358,1.2692439259270591
0.431,0.18393380718776445,0.09567401251850666,0.4172746161371072,0.29494975181505434,1.403929497570966,1.269404385733887
0.432,0.18394149296274845,0.09567773005050442,0.417389844319278,0.2950263397917409,1.40414502957398,1.2695650409858346
0.433,0.18394917952732212,0.0956814479605899,0.41750516351346173,0.2951029899516582,1.4043608116974184,1.269725892044543
0.434,0.18395686688161508,0.09568516624882477,0.4176205738318901,0.29517970237247454,1.404576844391435,1.269886939272528
0.435,0.18396455502575698,0.09568888491527065,0.4177360753869839,0.29525647713198966,1.404793128107244,1.270048183033239
0.436,0.18397224395987752,0.09569260395998938,0.4178516682913536,0.2953333143081361,1.4050096632972484,1.270209623691046
0.437,0.18397993368410637,0.09569632338304261,0.4179673526577998,0.2954102139789782,1.4052264504148384,1.2703712616111686
0.438,0.18398762419857334,0.09570004318449205,0.41808312859931424,0.295487176222714,1.4054434899146355,1.2705330971597883
0.439,0.18399531550340809,0.09570376336439956,0.4181989962290788,0.29556420111767395,1.4056607822522516,1.2706951307039684
0.44,0.18400300759874058,0.09570748392282684,0.4183149556604675,0.2956412887423221,1.4058783278845426,1.2708573626117214
0.441,0.18401070048470042,0.09571120485983567,0.418431007007045,0.2957184391752558,1.4060961272693837,1.271019793251946
0.442,0.18401839416141766,0.0957149261754879,0.4185471503825699,0.2957956524952074,1.4063141808658404,1.2711824229944868
0.443,0.18402608862902212,0.0957186478698453,0.4186633859009916,0.2958729287810423,1.4065324891340472,1.271345252210117
0.444,0.18403378388764366,0.09572236994296966,0.41877971367645406,0.2959502681117611,1.406751052535322,1.2715082812704912
0.445,0.18404147993741232,0.09572609239492288,0.4188961338232936,0.29602767056649926,1.4069698715320798,1.2716715105482526
0.446,0.18404917677845806,0.09572981522576685,0.4190126464560412,0.296105136224527,1.4071889465879313,1.2718349404169849
0.447,0.18405687441091081,0.09573353843556331,0.4191292516894211,0.29618266516525016,1.4074082781675186,1.2719985712511435
0.448,0.18406457283490066,0.09573726202437426,0.4192459496383538,0.2962602574682104,1.4076278667367697,1.2721624034261716
0.449,0.18407227205055765,0.09574098599226155,0.41936274041795313,0.2963379132130853,1.4078477127626152,1.2723264373184506
0.45,0.1840799720580119,0.09574471033928707,0.41947962414353035,0.29641563247968866,1.4080678167132705,1.2724906733053052
0.451,0.18408767285739347,0.09574843506551278,0.41959660093059065,0.2964934153479708,1.4082881790580166,1.2726551117649936
0.452,0.18409537444883267,0.09575216017100058,0.41971367089483747,0.2965712618980195,1.4085088002673456,1.2728197530767473
0.453,0.18410307683245947,0.09575588565581246,0.4198308341521698,0.2966491722100587,1.4087296808128682,1.2729845976207763
0.454,0.18411078000840425,0.09575961152001036,0.419948090818685,0.296727146364451,1.4089508211674031,1.2731496457781495
0.455,0.18411848397679717,0.0957633377636563,0.42006544101067683,0.296805184441696,1.409172221804913,1.2733148979310203
0.456,0.1841261887377685,0.09576706438681222,0.4201828848446384,0.2968832865224318,1.409393883200549,1.273480354462433
0.457,0.18413389429144855,0.09577079138954013,0.42030042243725985,0.2969614526874343,1.4096158058306134,1.2736460157564233
0.458,0.18414160063796767,0.09577451877190211,0.42041805390543213,0.29703968301761907,1.4098379901726545,1.2738118821979798
0.459,0.18414930777745614,0.09577824653396012,0.42053577936624414,0.29711797759403963,1.4100604367053071,1.2739779541730847
0.46,0.18415701571004447,0.09578197467577626,0.42065359893698556,0.2971963364978897,1.4102831459085101,1.2741442320686993
0.461,0.18416472443586304,0.09578570319741259,0.42077151273514507,0.2972747598105016,1.410506118263261,1.2743107162727125
0.462,0.18417243395504224,0.0957894320989312,0.42088952087841364,0.2973532476133488,1.4107293542518895,1.2744774071740643
0.463,0.18418014426771268,0.0957931613803941,0.4210076234846824,0.29743179998804414,1.4109528543578256,1.2746443051626768
0.464,0.18418785537400464,0.09579689104186351,0.42112582067204424,0.2975104170163409,1.411176619065762,1.2748114106293986
0.465,0.18419556727404887,0.09580062108340145,0.42124411255879385,0.2975890987801338,1.4114006488615616,1.274978723966123
0.466,0.18420327996797578,0.09580435150507013,0.4213624992634292,0.2976678453614581,1.4116249442323296,1.2751462455657288
0.467,0.18421099345591607,0.09580808230693166,0.4214809809046498,0.29774665684249096,1.4118495056663316,1.2753139758220797
0.468,0.18421870773800042,0.0958118134890482,0.42159955760136,0.297825533305551,1.4120743336531545,1.2754819151300583
0.46900000000000003,0.1842264228143593,0.09581554505148196,0.4217182294726665,0.2979044748330989,1.4122994286834731,1.27565006388553
0.47000000000000003,0.18423413868512353,0.09581927699429511,0.4218369966378815,0.29798348150773807,1.4125247912493413,1.2758184224854254
